turn	track	speaker	start_s	end_s	language	session	reference
0	B	3	1.44	4.18	mixed	1	ok所以我come from福建
1	B	3	4.6	12.52	mixed	1	所以我的我的parents我的妈妈是chemistry老师and我的爸爸是history老师
2	A	17	9.32	9.96	zh	1	好的
3	B	3	13.22	14.43	zh	1	然后
4	B	3	15.08	17.82	zh	1	对我平时挺喜欢
5	A	17	15.32	16.101	zh	1	呃
6	A	17	16.574	19.45	en	1	what's your major and your hobbies
7	B	3	18.02	25.92	mixed	1	那个玩basketball的然后我有时候有时候会邀我的friends啊一起打在就是after class的时候
8	A	17	24.0	24.9	en	1	e c e
9	A	17	25.32	26.68	mixed	1	呃what's the呃
10	B	3	27.28	29.68	zh	1	然后我有一个
11	B	3	30.12	32.07	zh	1	就很可爱的小狗泰迪
12	A	17	31.06	31.9	en	1	ok I see
13	B	3	32.31	33.61	mixed	1	他的名字叫Tony
14	B	3	34.26	38.12	mixed	1	对我平时然后都喜欢跟Tony一起玩
15	A	17	38.12	39.11	en	1	yeah I see
16	B	3	38.88	40.1	zh	1	然后
17	A	17	40.55	45.24	zh	1	我们专业专业课程有一些是那个你们那个专业的
18	B	3	40.97	42.08	zh	1	呃
19	B	3	43.68	44.13	zh	1	对
20	B	3	44.48	45.11	zh	1	你呢
21	B	3	45.48	46.93	zh	1	那换我讲一下吧
22	A	17	46.78	47.18	zh	1	呃不是
23	B	3	47.14	49.48	zh	1	所以我的名字叫呃
24	A	17	48.75	52.78	mixed	1	no我专业是那个i s m information systems management
25	B	3	50.14	51.02	en	1	Jason
26	B	3	51.716	55.746	zh	1	呃然后我我家也有呃我家有四个人
27	A	17	53.6	55.4	en	1	no bussiness school
28	B	3	55.9	56.5	zh	1	嗯
29	B	3	58.18	61.56	mixed	1	然后呃我也喜欢play basketball
30	A	17	59.7	61.1	zh	1	那呃
31	B	3	61.92	64.2	mixed	1	对所以我们以后可以一起去play basketball
32	A	17	64.0	67.44	en	1	yeah m s c oh yeah I know [UNK] yeah
33	B	3	65.42	69.64	mixed	1	然后刚忘了讲你你是念什么major的
34	A	17	68.78	69.77	en	1	full time student
35	B	3	69.946	75.846	mixed	1	哦我我在u g的时候念的是electric engineering
36	A	17	71.894	72.684	zh	1	嗯嗯嗯
37	A	17	75.46	76.8	en	1	so where are you come from
38	B	3	76.296	80.286	mixed	1	但是我现在换major了换成computer engineering
39	A	17	80.56	81.26	en	1	how about you
40	B	3	81.23	82.47	zh	1	了解了解
41	B	3	82.84	85.76	zh	1	所以对然后我现我现在也是
42	A	17	82.936	83.946	en	1	accident
43	B	3	85.98	90.54	mixed	1	在念呃computer engineering对那u g的时候我是在台湾
44	A	17	86.66	87.49	zh	1	南方人
45	A	17	89.0	90.76	zh	1	南方人啊深圳
46	B	3	90.9	94.34	mixed	1	对台湾的台湾大学National Taiwan University念
47	A	17	91.56	92.12	zh	1	深圳
48	A	17	94.62	95.32	zh	1	不是
49	B	3	96.43	99.04	zh	1	对所以啊然后
50	A	17	97.14	100.22	zh	1	嗯哼因为感觉香港好多深圳人
51	B	3	99.3	99.98	zh	1	诶
52	B	3	100.64	102.09	zh	1	其实我现在不知道讲什么了
53	B	3	103.74	104.88	zh	1	呃
54	A	17	105.28	106.86	zh	1	不是我也是南方人
55	B	3	105.38	110.18	mixed	1	就是你们你们的department大不大
56	A	17	108.96	109.64	zh	1	不是
57	B	3	110.317	111.617	mixed	1	就professor多不多啊
58	B	3	111.657	115.437	mixed	1	哦我们的department大概我们有四间
59	A	17	112.96	116.6	en	1	really uh close to Guangzhou Guangdong province
60	B	3	115.87	116.65	zh	1	系馆
61	B	3	116.942	117.182	zh	1	嗯
62	B	3	117.192	120.922	mixed	1	然后总共的professor大概有呃一百多位
63	A	17	119.1	119.62	zh	1	不是
64	B	3	121.69	122.63	zh	1	一百多位
65	A	17	122.14	122.9	zh	1	可是
66	B	3	123.13	125.98	zh	1	对一百多位然后再加上哦
67	A	17	126.43	127.45	mixed	1	ok福建
68	B	3	126.51	129.35	mixed	1	呃大概一千位的students
69	A	17	128.95	129.23	en	1	yeah
70	B	3	130.12	132.68	zh	1	对所以总共也是算蛮大的
71	B	3	135.38	139.28	mixed	1	感觉跟我们跟我们department size差不多
72	A	17	136.218	136.768	zh	1	嗯
73	A	17	139.814	142.634	zh	1	你看着我就分不清嘛你都说我是北方人
74	B	3	139.98	144.8	mixed	1	对我们我们professor大概也有七八十位
75	A	17	145.498	145.668	zh	1	对
76	B	3	145.8	146.4	zh	1	对
77	A	17	147.22	148.34	zh	1	来不了
78	B	3	148.08	152.7	mixed	1	对然后我们U G的时候我们每我们会有分那个
79	A	17	148.76	150.33	zh	1	吃葡萄不吐葡萄皮
80	A	17	151.78	152.41	zh	1	那是什么啊
81	B	3	152.88	154.78	zh	1	是就是小班
82	B	3	155.1	157.09	mixed	1	然后每个班会有一个tutor
83	B	3	157.66	160.1	mixed	1	就是就是我们的senior
84	A	17	157.988	158.448	en	1	ok
85	B	3	160.16	165.94	mixed	1	来来到我们的tutor然后会带就是一开始的时候会带我们融入集体
86	A	17	161.514	162.02	zh	1	哦
87	A	17	165.04	167.86	zh	1	黑化肥挥发会发黑
88	B	3	166.04	169.02	mixed	1	就是会带我们组织一些activity
89	B	3	169.04	170.24	zh	1	就是去
90	B	3	172.06	174.48	mixed	1	对带我们认识new friends之类的
91	A	17	172.94	178.29	en	1	so uh what's your uh what's your plan for your career
92	B	3	176.64	180.56	mixed	1	那你现在住在Hong Kong大概住了多久
93	B	3	181.1	183.16	zh	1	我来这
94	A	17	183.52	186.18	en	1	so you you already found a job or not
95	B	3	183.78	184.76	zh	1	一年半
96	B	3	185.26	186.54	en	1	almost two years
97	B	3	187.7	192.26	zh	1	对然后来这边的生活还挺惬意的
98	B	3	193.66	197.6	mixed	1	所以你还蛮喜欢也蛮习惯Hong Kong life嘛就是
99	B	3	197.64	199.82	zh	1	我就说就是在这边
100	A	17	198.34	199.48	en	1	so you are still
101	B	3	200.02	202.46	mixed	1	呃food的啊或者是
102	B	3	202.64	204.96	mixed	1	啊lifestyle啊之类的
103	A	17	202.818	203.178	en	1	ok
104	A	17	204.76	209.62	en	1	um actually I find the job in last semester
105	B	3	205.44	208.02	zh	1	对啊而且平时生活
106	B	3	208.56	214.34	mixed	1	就是像那些就是没有deadline的时候也不会那么stress
107	A	17	211.168	212.378	en	1	invested consulting
108	A	17	212.92	217.51	en	1	because I study in um information system engineers
109	B	3	215.19	217.24	zh	1	就对然后
110	A	17	217.7	220.52	en	1	since um four years ago
111	B	3	217.76	218.95	zh	1	但是我觉得
112	B	3	219.42	224.08	mixed	1	是这里的住宿还有食物这些都比较expensive
113	A	17	220.86	227.9	en	1	so I I mean I study I S N in both my bachelorand master um degree so
114	B	3	225.06	226.52	zh	1	对就是
115	A	17	228.26	234.97	en	1	um but it's not that technical so I decided to find a job like technology consulting
116	B	3	228.6	229.75	zh	1	嗯这个会
117	B	3	231.4	232.54	zh	1	确实是
118	B	3	233.16	237.96	mixed	1	我我自己是之前的这边exchange就是我在这边当exchange students
119	A	17	235.48	236.14	en	1	so
120	A	17	237.36	237.8	en	1	yeah
121	B	3	238.1	240.58	mixed	1	然后当了one semester
122	B	3	240.62	243.3	mixed	1	一个one semester在这边念书
123	A	17	240.88	246.3	en	1	but it's not that technical actually with more related to business and
124	B	3	243.56	245.34	zh	1	然后后来
125	B	3	245.76	249.06	zh	1	呃从这边离开之后回去台湾
126	A	17	246.34	252.62	en	1	you need to learn how to communicate with us and givesome technical solutions
127	B	3	249.54	251.72	mixed	1	然后再回来做graduate students
128	B	3	251.92	255.82	zh	1	对又做了现在也是快也是一年半快两年
129	A	17	256.17	258.12	en	1	yeah
130	B	3	256.48	259.74	zh	1	对所以我也蛮觉得这边还不错
131	A	17	259.62	261.04	en	1	so what's your hobbies
132	B	3	260.28	261.34	zh	1	然后
133	B	3	262.48	263.33	zh	1	嗯
134	B	3	263.58	264.95	zh	1	这种那些
135	B	3	268.72	270.43	mixed	1	叉烧饭yeah it's
136	A	17	269.62	272.62	mixed	1	um运动啊男生一般不都喜欢运动
137	B	3	270.88	273.2	en	1	it's quite good i mean like
138	B	3	273.48	275.56	zh	1	就我很喜欢就是这边
139	A	17	273.991	274.561	en	1	tennis
140	B	3	275.92	278.26	zh	1	相距相较于台湾也不会太
141	B	3	278.75	279.84	mixed	1	太expensive
142	B	3	280.54	283.52	mixed	1	就吃的方面还算是normal
143	A	17	282.58	283.84	en	1	you have learned it
144	B	3	284.02	284.6	zh	1	对
145	B	3	286.46	288.34	zh	1	好不如来聊点别的吧
146	A	17	288.96	290.36	zh	1	体育课上那种吗
147	B	3	289.42	293.42	mixed	1	tell一些你现在做什么research方向
148	B	3	293.78	294.4	zh	1	哦
149	A	17	294.0	294.81	zh	1	嗯嗯嗯
150	B	3	295.5	298.67	mixed	1	所以我们现在开始talk about our research topics
151	A	17	296.76	297.15	zh	1	嗯
152	A	17	299.5	302.33	zh	1	那其他方面除了运动方面还有什么爱好
153	B	3	299.68	300.25	en	1	right
154	B	3	301.92	308.7	mixed	1	所以我我现在主要在做啊就是dialogue system相关就对话系统的研究
155	A	17	304.24	305.27	zh	1	没有
156	B	3	309.17	309.61	zh	1	是的
157	B	3	309.66	310.98	zh	1	对然后
158	B	3	311.0	313.52	zh	1	呃主要的方向就会是
159	A	17	313.24	313.88	zh	1	嗯
160	B	3	313.92	316.94	zh	1	呃希望是 [UNK] 的对话系统
161	A	17	314.59	315.49	zh	1	学术
162	B	3	317.32	324.58	mixed	1	就是这些dialogue system它其实是有任务去完成的就不是像是一般的chitchat
163	A	17	321.7	322.26	zh	1	嗯
164	A	17	324.57	326.16	mixed	1	哦这么technical
165	B	3	325.19	327.08	mixed	1	这chitchat就像是说
166	A	17	326.24	329.94	zh	1	你们专业的是不是平时学得都是一些什么呃
167	B	3	327.9	330.68	zh	1	好我们没有什么目的就乱聊天这样子
168	A	17	330.42	331.87	mixed	1	computer languages是
169	B	3	331.8	332.38	zh	1	对
170	B	3	332.42	336.34	mixed	1	那 [UNK] dialogue system就像是说哎它其实要帮我们
171	B	3	336.48	337.1	zh	1	呃
172	B	3	337.56	339.06	en	1	[UNK] get a restaurant
173	B	3	339.54	345.42	mixed	1	然后呃或者是去book一个电影的票啊或者是
174	B	3	345.5	353.78	mixed	1	呃怎么之类的就是我们希望透过多轮就是monitor的方式然后最后让这个system可以帮助我们完成某一项任务
175	A	17	347.92	351.1	zh	1	嗯那你就是对这方面很有兴趣
176	A	17	353.29	354.4	en	1	um
177	B	3	354.28	354.77	zh	1	对
178	B	3	354.9	355.9	en	1	how about you
179	B	3	356.04	358.28	zh	1	听起来挺有趣的
180	A	17	356.22	356.89	zh	1	嗯
181	B	3	358.46	360.68	zh	1	我只我一刚开始
182	A	17	358.48	358.82	en	1	yeah
183	B	3	360.82	364.46	mixed	1	来hong kong的时候是做那个
184	A	17	362.25	365.58	en	1	I learn some programing language
185	B	3	364.64	367.7	en	1	auto automatically speech recognition
186	A	17	365.9	367.42	en	1	in these years
187	A	17	367.58	370.35	en	1	but i think it's kind of boring so
188	B	3	368.6	374.88	zh	1	对那个我刚开始来的时候觉得挺难的因为没有就是
189	A	17	370.7	371.38	en	1	uh
190	A	17	373.48	376.58	en	1	uh but some program language like Python
191	B	3	375.02	376.9	mixed	1	那种experience
192	A	17	376.92	380.56	en	1	are really popular this year in every industries so
193	B	3	377.24	381.12	mixed	1	呃senior to support我去去
194	A	17	380.91	382.58	en	1	it push me to learn it
195	B	3	381.4	383.58	zh	1	就是开始这个
196	B	3	383.66	385.56	mixed	1	这方面的study
197	B	3	385.96	390.95	zh	1	然后对然后一开始的时候就是挺
198	A	17	388.42	389.45	mixed	1	嗯yeah
199	A	17	389.54	391.38	mixed	1	所以我上学期也学了python
200	A	17	391.54	392.99	zh	1	这门课但是
201	B	3	391.55	394.16	mixed	1	一开始的学习过程还是挺tough
